year,qNum,qPart,Marks,1.5,syllabus,keywords,Outcome
2010,23,(d) (ii),3,4.5,9.2.3,interface design,H6.4
2021,22,,3,4.5,9.2.4,Methods of testing,"H4.2, H5.1"
2020,9,,1,1.5,9.2.4,Levels of testing and use of driver,H4.2
2020,21,(d),3,4.5,9.2.4,Benchmarking,H5.2
2020,26,(b),3,4.5,9.2.4,Test data,H4.2
2019,2,,1,1.5,9.2.4,Volume testing,H4.2
2019,4,,1,1.5,9.2.4,Post-implementation review,H5.2
2019,14,,1,1.5,9.2.4,Test data,H4.2
2019,25,b,3,4.5,9.2.4,Software evaluation,"H4.3, H5.1"
2018,2,,1,1.5,9.2.4,Test data,H4.2
2018,11,,1,1.5,"9.2.2, 9.2.4",Benchmarking,H4.2
2018,15,,1,1.5,9.2.4,Testing,"H4.2, H4.3"
2018,23,c,3,4.5,"9.2.1, 9.2.4",Testing / quality assurance,H4.3
2018,26,,3,4.5,9.2.4,Importance of live and volume testing,H5.1
2017,21,,3,4.5,9.2.4,Testing report,H5.2
2016,8,,1,1.5,9.2.4,Quality assurance criteria,"H3.2, H5.1"
2016,22,,3,4.5,"9.1.1, 9.2.4",Response times,H2.2
2015,12,,1,1.5,9.2.4,Test data design,H4.2
2015,20,,1,1.5,9.2.4,Driver to test module,H5.3
2015,22,,4,6,9.2.4,Describe the types of testing,H4.2
2014,6,,1,1.5,9.2.4,Testing documentation,"H5.2, H5.3"
2014,29,,3,4.5,9.2.4,Testing levels,"H4.2, H4.3"
2013,16,,1,1.5,9.2.4,Acceptance testing,"H4.2, H4.3"
2013,18,,1,1.5,9.2.4,subroutine testing,H4.3
2013,19,,1,1.5,9.2.4,reason for modifying code,H4.3
2013,29,a,3,4.5,9.2.4,locating an error,H4.3
2012,13,,1,1.5,9.2.4,Benchmarking,H5.2
2012,26,a,2,3,9.2.4,driver,H4.2
2012,26,b,3,4.5,9.2.4,Test data,H4.2
2011,11,,1,1.5,9.2.4,Test boundaries,H4.2
2011,12,,1,1.5,9.2.4,Benchmarking,H4.2
2011,21,,4,6,"9.1.1, 9.2.2, 9.2.3, 9.2.4, 9.2.5, 9.3",CASE tools,"H4.2, H5.1"
2011,25,,3,4.5,9.2.4,Test data,H4.3
2011,26,b,3,4.5,9.2.4,Logic errors,H4.3
2011,31,,3,4.5,"9.2.3, 9.2.4",Performance,H4.3
2010,8,,1,1.5,9.2.4,Performance Monitoring,"H4.2, H5.1"
2010,23,b,4,6,9.2.4,Testing levels,H4.2
2020,13,,1,1.5,9.2.5,Maintenance,H4.2
2019,25,c,3,4.5,9.2.5,Maintenance,"H4.2, H5.1"
2018,4,,1,1.5,9.2.5,Maintenance,H4.3
2017,26,,3,4.5,9.2.5,Maintenance,"H4.2, H4.3"
2016,26,b,3,4.5,"9.2.2, 9.2.5",Maintenance,H5.1
2015,5,,1,1.5,9.2.5,Maintenance / documentation,"H5.2, H6.1"
2015,21,,2,3,9.2.5,Reasons for maintenance,H5.1
2014,25,,4,6,9.2.5,efficient UI,H4.2
2014,27,b,3,4.5,9.2.5,maintenance issues,H3.1
2014,28,,3,4.5,9.2.5,modify an algorithm,H3.1
2013,8,,1,1.5,9.2.5,reasons for maintaining software,H5.2
2013,14,,1,1.5,9.2.5,reasons for maintaining software,H5.2
2011,6,,1,1.5,9.2.5,reasons for maintaining software,H4.2
2011,21,,4,6,"9.1.1, 9.2.2, 9.2.3, 9.2.4, 9.2.5, 9.3",CASE tools,"H4.2, H5.1"
2010,22,d,4,6,9.2.5,Maintenance techniques,"H5.2, H4.3"
2021,24,,3,4.5,9.3 ,Log books ,H5.2
2021,26,,4,6,9.3,Design an algorithm,H4.2
2021,30,,4,6,9.3,Design an algorithm,H4.2
2021,33,,5,7.5,9.3,Design an algorithm,H4.2
2020,21,(c),2,3,9.3,Project management  Gantt chart,H5.1
2020,24,(b),3,4.5,9.3,Documentation  storyboard,H5.2
2020,26,(c),4,6,9.3,Validation subroutine,H4.2
2020,27,(c),5,7.5,9.3,Algorithm design,H4.2
2019,27,c,3,4.5,"9.3, 9.1.2",Team of developers vs single developer,H6.3
2018,23,a,3,4.5,9.3 ,Project management,"H5.1, H6.3"
2017,23,c,3,4.5,9.3 ,Project management,H5.1
2016,25,a,2,3,9.3,Purpose(s) of logbooks,H5.1
2016,25,b,2,3,9.3,Project Management techniques,H5.1
2016,25,c,3,4.5,"9.2.1, 9.3",Communication skills,H6.1
2015,10,,1,1.5,9.3 ,Project management,H6.2
2014,23,,4,6,9.3 ,project management tools,"H5.1, H2.1"
2013,3,,1,1.5,9.3,project management,H5.2
2013,9,,1,1.5,"9.2.1, 9.3",prooject management documentation,H5.2
2013,22,b,4,6,9.3,documenmtation DFD,H4.2
2013,25,b,4,6,9.3,agile approaach,"H1.3, H6.4"
2012,20,,1,1.5,9.3,data validation,"H1.3, H4.3"
2012,23,b,3,4.5,"9.2.1, 9.2.2, 9.3",data flow diagram,"H1.2, H4.2"
2011,21,,4,6,"9.1.1, 9.2.2, 9.2.3, 9.2.4, 9.2.5, 9.3",CASE tools,"H4.2, H5.1"
2010,1,,1,1.5,9.3,Gantt chart,H1.2
2010,6,,1,1.5,9.3,"test data, software development cycle",H1.2
2010,20,,1,1.5,"9.2.2, 9.3",Desk check,H1.3
2010,22,b(i),5,7.5," 9.2.2, 9.2.3, 9.3",Write an algorithm,"H4.2, H4.3"
2010,23,a,3,4.5,9.3,Project management tools,"H5.3, H6.3"
2010,23,d(ii),3,4.5,"9.2.3, 9.3",interface design,H6.4
2010,23,d(iii),4,6,"9.2.2, 9.3",Structure diagram,H5.2
2021,34, (a) (i),3,4.5,9.4.1, OOP classes and attributes,H4.2
2021,34, (a) (ii),3,4.5,9.4.1, OOP methods,H4.2
2021,34, (a) (iii),3,4.5,9.4.1, Artificial intelligence,H2.2
2021,34, (b) (i),2,3,9.4.1, LOGIC query,H4.2
2021,34, (b) (ii),2,3,9.4.1, LOGIC rule,H4.2
2021,34, (b) (iii),3,4.5,9.4.1, LOGIC chaining,H4.2
2021,34, (c),4,6,9.4.1, Choice of paradigm,"H2.1, H4.1, H5.3"
2020,29,(a),3,4.5,9.4.1,OOP  games,H4.2
2020,29,(b) (i),3,4.5,9.4.1,Logic programming,H2.1
2020,29,(b) (ii),3,4.5,9.4.1,Logic programming,H4.2
2020,29,(c),3,4.5,9.4.1,Imperative vs logic  expert system,H4.2
2020,29,(d),3,4.5,9.4.1,OOP  encapsulation,H4.2
2020,29,(e) (i),3,4.5,9.4.1,OOP  polymorphism,H2.1
2020,29,(e) (ii),2,3,9.4.1,OOP  method,H2.1
2019,31,a,2,3,9.4.1,Implication of OOP for testing/maintenance,"H1.2, H2.1"
2019,31,b(i),4,6,9.4.1,OOP -Distinguish between inheritance and polymorphism,"H1.2, H2.1"
2019,31,b(ii),2,3,9.4.1,Modify OOP code,H4.2
2019,31,c(i),3,4.5,9.4.1,"LOGIC Paradigm Distinguish between facts, rules and queries",H4.1
2019,31,c(ii),3,4.5,9.4.1,LOGIC Paradigm  Use of pattern matching in described system,H4.2
2019,31,d,3,4.5,9.4.1,LOGIC Paradigm  Use of AI,H4.2
2019,31,e,3,4.5,9.4.1,Current role of the imperative paradigm,"H2.1, H4.1"
2018,31,a,3,4.5,9.4.1,OOP encapsulation,"H2.1, H4.2"
2018,31,b(i),3,4.5,9.4.1,LOGIC Paradigm  expanding code,H4.2
2018,31,b(ii),3,4.5,9.4.1,LOGIC Paradigm  evaluating query,H4.2
2018,31,c,3,4.5,9.4.1,Reasons for paradigm development,"H2.1, H4.2"
2018,31,d,2,3,9.4.1,LOGIC Paradigm Heuristics,H1.2
2018,31,e(i),3,4.5,9.4.1,OOP modifying code  inheritance,H4.2
2018,31,e(ii),3,4.5,9.4.1,OOP polymorphism,H4.2
2017,34,a,2,3,9.4.1,OOP polymorphism,H2.1
2017,34,b(i),3,4.5,9.4.1,OOP declarations,H4.2
2017,34,b(ii),2,3,9.4.1,OOP attributes,H4.2
2017,34,b(iii),4,6,9.4.1,OOP subclass,H4.2
2017,34,c,4,6,9.4.1,Paradigm comparison,H5.3
2017,34,d(i),3,4.5,9.4.1,LOGIC Paradigm Chaining,H4.2
2017,34,d(ii),2,3,9.4.1,LOGIC Paradigm  LOGIC rule,H4.2
2016,34,a,2,3,9.4.1,LOGIC Paradigm  Definition of an expert system,H1.2
2016,34,b,4,6,9.4.1,Comparing paradigms,"H1.2, H2.1"
2016,34,c(i),3,4.5,9.4.1,Extending LOGIC code,H1.2
2016,34,c(ii),3,4.5,9.4.1,Evaluating a LOGIC rule,"H1.2, H2.1"
2016,34,d(i),2,3,9.4.1,Modifying some OOP code,H1.2
2016,34,d(ii),4,6,9.4.1,Producing some OOP code (instantiation),H1.2
2016,34,d(iii),2,3,9.4.1,Producing some OOP code (method),H1.2
2015,33,a,4,6,9.4.1,Justify paradigms,"H1.2, H2.1, H4.1"
2015,33,b,2,3,9.4.1,LOGIC Paradigm Heuristics,"H1.2, H4.1"
2015,33,c(i),2,3,9.4.1,Modify LOGIC fragment,"H1.2, H4.1"
2015,33,c(ii),2,3,9.4.1,Interpret LOGIC code,"H1.2, H4.1"
2015,33,d(i),4,6,9.4.1,OOP - Polymorphism and inheritance,"H1.2, H4.1"
2015,33,d(ii),3,4.5,9.4.1,Modify OOP fragment,"H1.2, H4.1"
2015,33,e,3,4.5,9.4.1,OOP - Encapsulation,H4.2
2014,35,a(i),3,4.5,9.4.1,strengths of the LOGIC paradigm,H2.1
2014,35,a(ii),3,4.5,9.4.1,strengths of the OOP paradigm,H2.1
2014,35,b,2,3,9.4.1,OOP Method,"H2.1, H4.2"
2014,35,c(i),2,3,9.4.1,OOP Class,"H2.1, H4.2"
2014,35,c(ii),3,4.5,9.4.1,Interpret OOP code,"H2.1, H4.2"
2014,35,d(i),3,4.5,9.4.1,Extending LOGIC code,"H2.1, H4.2"
2014,35,d(ii),4,6,9.4.1,LOGIC Paradigm Chaining,"H2.1, H4.2"
2013,32,a(i),2,3,9.4.1,OOP Attribute and Method,H1.2
2013,32,a(ii),2,3,9.4.1,Extending OOP code,H1.2
2013,32,a(iii),3,4.5,9.4.1,OOP - Encapsulation,"H4.1, H4.2"
2013,32,b(i),3,4.5,9.4.1,limitations of using the imperative approach,H1.2
2013,32,b(ii),3,4.5,9.4.1,LOGIC Paradigm - Inference Engine,H4.2
2013,32,b(iii),4,6,9.4.1,Extending LOGIC code,H1.2
2013,32,c,3,4.5,9.4.1,LOGIC and OOP paradigms,H5.3
2012,31,a,3,4.5,9.4.1,Limitations of the imperative paradigm,"H1.2, H2.1, H5.3 "
2012,31,b(i),2,3,9.4.1,LOGIC Paradigm Chaining,H4.2
2012,31,b(ii),3,4.5,9.4.1,LOGIC Paradigm  expanding code,H4.2
2012,31,c(i),2,3,9.4.1,OOP - Class and method,H4.2
2012,31,c(ii),2,3,9.4.1,Modify OOP fragment with method,H4.2
2012,31,c(iii),4,6,9.4.1,Modify OOP fragment with Polymorphism,H4.2
2012,31,d,4,6,9.4.1,Combination of paradigms,"H1.2, H2.2, H4.1, H4.2 "
,,,,,,,
